datetime,type,data
2026-05-19 00:39:47,中国LNG出厂价格（全国）,"{'DATA': '2026-05-18', 'BASEPRICE': '6222'}"
2026-05-19 00:39:47,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7476', 'BASEPRICE_petrol': '8316', 'DATA_diesel': '2026-05-14', 'DATA_petrol': '2026-05-14'}"
2026-05-19 00:39:47,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1194, 'recordsFiltered': 1194, 'data': [['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], ['2025-09-26', '680', '3', '614', '3', '550', '2', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-19 12:21:53,中国LNG出厂价格（全国）,"{'DATA': '2026-05-19', 'BASEPRICE': '6215'}"
2026-05-19 12:21:53,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7476', 'BASEPRICE_petrol': '8316', 'DATA_diesel': '2026-05-14', 'DATA_petrol': '2026-05-14'}"
2026-05-19 12:21:53,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1194, 'recordsFiltered': 1194, 'data': [['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], ['2025-09-26', '680', '3', '614', '3', '550', '2', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-20 12:05:17,中国LNG出厂价格（全国）,"{'DATA': '2026-05-20', 'BASEPRICE': '6202'}"
2026-05-20 12:05:17,中国汽柴油批发价格,"{'BASEPRICE_diesel': '7474', 'BASEPRICE_petrol': '8314', 'DATA_diesel': '2026-05-19', 'DATA_petrol': '2026-05-19'}"
2026-05-20 12:05:17,CCTD秦皇岛动力煤价格,"{'draw': 1, 'recordsTotal': 1194, 'recordsFiltered': 1194, 'data': [['2026-05-15', '715', '2', '648', '2', '580', '2', None, None, None, None, None], ['2026-05-08', '713', '12', '646', '11', '578', '11', None, None, None, None, None], ['2026-04-24', '701', '1', '635', '1', '567', '1', None, None, None, None, None], ['2026-04-17', '700', '1', '634', '1', '566', '1', None, None, None, None, None], ['2026-04-10', '699', '3', '633', '2', '565', '1', None, None, None, None, None], ['2026-04-03', '696', '1', '631', '1', '564', '1', None, None, None, None, None], ['2026-03-27', '695', '4', '630', '4', '563', '4', None, None, None, None, None], ['2026-03-20', '691', '-2', '626', '-2', '559', '-2', None, None, None, None, None], ['2026-03-13', '693', '-2', '628', '-2', '561', '-2', None, None, None, None, None], ['2026-03-06', '695', '5', '630', '5', '563', '5', None, None, None, None, None], ['2026-02-27', '690', '6', '625', '6', '558', '5', None, None, None, None, None], ['2026-02-13', '684', '1', '619', '2', '553', '2', None, None, None, None, None], ['2026-02-06', '683', '-2', '617', '-3', '551', '-2', None, None, None, None, None], ['2026-01-30', '685', '-1', '620', '0', '553', '0', None, None, None, None, None], ['2026-01-23', '686', '-2', '620', '-1', '553', '-1', None, None, None, None, None], ['2026-01-16', '688', '2', '621', '2', '554', '3', None, None, None, None, None], ['2026-01-09', '686', '-9', '619', '-6', '551', '-4', None, None, None, None, None], ['2025-12-26', '695', '-7', '625', '-7', '555', '-7', None, None, None, None, None], ['2025-12-19', '702', '-7', '632', '-7', '562', '-8', None, None, None, None, None], ['2025-12-12', '709', '-6', '639', '-6', '570', '-6', None, None, None, None, None], ['2025-12-05', '715', '5', '645', '4', '576', '3', None, None, None, None, None], ['2025-11-28', '710', '0', '641', '-2', '573', '-2', None, None, None, None, None], ['2025-11-21', '710', '0', '643', '1', '575', '1', None, None, None, None, None], ['2025-11-14', '710', '7', '642', '6', '574', '6', None, None, None, None, None], ['2025-11-07', '703', '10', '636', '10', '568', '9', None, None, None, None, None], ['2025-10-31', '693', '2', '626', '1', '559', '1', None, None, None, None, None], ['2025-10-24', '691', '6', '625', '7', '558', '5', None, None, None, None, None], ['2025-10-17', '685', '4', '618', '3', '553', '3', None, None, None, None, None], ['2025-10-10', '681', '1', '615', '1', '550', '0', None, None, None, None, None], ['2025-09-26', '680', '3', '614', '3', '550', '2', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None, None, None]]}"
2026-05-21 12:27:56,中国LNG出厂价格（全国）,"{'DATA': '2026-05-21', 'BASEPRICE': '6192'}"
